[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/rubberBand.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInLeft.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/slideInDown.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/lightSpeedIn.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-vertical.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/slideInRight.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/zoomInDown.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInLeft.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/rotateInDownLeft.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/flash.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/swing.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-wobble-top.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/slideInLeft.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-11-14 16:33:50] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost:8888/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
